SGB,Sample1,Sample2
t__SGB1472,C1,Z11
t__SGB1472,ERR14760648,ERR14760810
t__SGB1472,ERR14760644,ERR14760648
t__SGB1472,ERR14760644,ERR14760810
t__SGB1477,ERR14760426,ERR14760504
t__SGB1477,ERR14760436,ERR14760653
t__SGB1477,U11,Z11
t__SGB1477,ERR14760509,ERR14760538
t__SGB1477,C9,Z4
t__SGB1477,C9,Z5
t__SGB1477,C9,U1
t__SGB1477,C9,Z9
t__SGB1477,Z4,Z5
t__SGB1477,Z4,Z9
t__SGB1477,Z5,Z9
t__SGB1477,U1,Z4
t__SGB1477,U1,Z5
t__SGB1477,U1,Z9
t__SGB1477,C11,C9
t__SGB1477,C11,Z4
t__SGB1477,C11,Z5
t__SGB1477,C11,U1
t__SGB1477,C11,Z9
t__SGB1477,C10,C7
t__SGB14990,C7,Z7
t__SGB14990,U4,Z9
t__SGB14990,ERR14760697,ERR14760809
t__SGB14990,ERR14760628,ERR14760809
t__SGB14990,ERR14760628,ERR14760697
t__SGB14990,C11,Z6
t__SGB14990,C11,U8
t__SGB14990,C11,U11
t__SGB14990,C11,C4
t__SGB14990,C11,Z2
t__SGB14990,U8,Z6
t__SGB14990,U8,Z2
t__SGB14990,U11,Z6
t__SGB14990,U11,U8
t__SGB14990,U11,Z2
t__SGB14990,C4,Z6
t__SGB14990,C4,U8
t__SGB14990,C4,U11
t__SGB14990,C4,Z2
t__SGB14990,Z2,Z6
t__SGB14990,C10,Z4
t__SGB14991,U4,U8
t__SGB14991,U4,U6
t__SGB14991,U4,Z3
t__SGB14991,U8,Z5
t__SGB14991,U8,Z12
t__SGB14991,U8,Z3
t__SGB14991,C4,U8
t__SGB14991,C4,C6
t__SGB14991,C4,U6
t__SGB14991,C6,U4
t__SGB14991,C6,U8
t__SGB14991,C6,U6
t__SGB14991,C6,Z3
t__SGB14991,U6,U8
t__SGB14991,U6,Z12
t__SGB14991,U6,Z3
t__SGB14991,C5,U6
t__SGB14991,C5,U5
t__SGB14991,Z12,Z3
t__SGB14991,U3,U6
t__SGB14991,U3,Z12
t__SGB14991,C3,Z11
t__SGB14991,U11,Z12
t__SGB14991,U11,U3
t__SGB14991,C1,C10
t__SGB14991,C1,U12
t__SGB14991,C2,Z1
t__SGB14991,C7,U4
t__SGB14991,C7,U8
t__SGB14991,C7,U6
t__SGB14991,C11,U4
t__SGB14993,ERR14760435,ERR14760504
t__SGB14993,ERR14760435,ERR14760724
t__SGB14993,U8,Z2
t__SGB14993,Z11,Z2
t__SGB14993,Z11,Z12
t__SGB14993,C3,Z8
t__SGB14993,C2,Z11
t__SGB14993,U11,Z11
t__SGB14993,U11,Z12
t__SGB14993,U11,U7
t__SGB14993,U7,Z12
t__SGB14993,C4,Z12
t__SGB14993,C4,U11
t__SGB14993,C4,U7
t__SGB15015,U4,U9
t__SGB15015,U11,Z12
t__SGB15015,C12,Z12
t__SGB15015,C3,Z12
t__SGB15015,U2,Z9
t__SGB15015,U2,Z8
t__SGB15015,U3,U8
t__SGB15015,C1,U3
t__SGB15019,U6,Z4
t__SGB15019,U6,U8
t__SGB15019,U6,U9
t__SGB15019,U6,Z12
t__SGB15019,U6,Z8
t__SGB15019,U11,U6
t__SGB15019,U11,Z4
t__SGB15019,U11,U3
t__SGB15019,U11,Z12
t__SGB15019,U11,Z8
t__SGB15019,Z4,Z6
t__SGB15019,Z4,Z8
t__SGB15019,C10,U6
t__SGB15019,C10,Z4
t__SGB15019,C10,U3
t__SGB15019,C10,Z12
t__SGB15019,U8,Z4
t__SGB15019,U8,U9
t__SGB15019,U8,Z12
t__SGB15019,U8,Z6
t__SGB15019,C6,U6
t__SGB15019,C6,Z4
t__SGB15019,C6,U8
t__SGB15019,C6,C9
t__SGB15019,C6,U3
t__SGB15019,C6,U9
t__SGB15019,C6,U12
t__SGB15019,C6,Z12
t__SGB15019,C9,U6
t__SGB15019,C9,Z4
t__SGB15019,C9,U8
t__SGB15019,C9,U3
t__SGB15019,C9,U9
t__SGB15019,C9,U12
t__SGB15019,C9,Z12
t__SGB15019,C9,Z6
t__SGB15019,U3,U6
t__SGB15019,U3,Z4
t__SGB15019,U3,U8
t__SGB15019,U3,U7
t__SGB15019,U3,U9
t__SGB15019,U3,Z12
t__SGB15019,U3,Z6
t__SGB15019,U3,Z11
t__SGB15019,U3,Z8
t__SGB15019,U7,U9
t__SGB15019,U9,Z4
t__SGB15019,U9,Z12
t__SGB15019,U9,Z6
t__SGB15019,U12,U6
t__SGB15019,U12,Z4
t__SGB15019,U12,U8
t__SGB15019,U12,U3
t__SGB15019,U12,U9
t__SGB15019,U12,Z12
t__SGB15019,U12,Z6
t__SGB15019,C3,U6
t__SGB15019,C3,Z4
t__SGB15019,C3,U8
t__SGB15019,C3,C6
t__SGB15019,C3,C9
t__SGB15019,C3,U3
t__SGB15019,C3,U9
t__SGB15019,C3,U12
t__SGB15019,C3,Z12
t__SGB15019,C3,Z6
t__SGB15019,C3,Z11
t__SGB15019,C3,U2
t__SGB15019,Z12,Z4
t__SGB15019,Z12,Z6
t__SGB15019,Z12,Z7
t__SGB15019,Z11,Z12
t__SGB15019,Z11,Z7
t__SGB15019,U2,Z12
t__SGB15019,U2,Z11
t__SGB15019,U2,Z7
t__SGB15019,C8,Z8
t__SGB15019,C8,Z1
t__SGB15019,ERR14760441,ERR14760786
t__SGB15022,C11,Z12
t__SGB15022,C11,C5
t__SGB15022,C5,Z2
t__SGB15022,C5,U7
t__SGB15022,C5,U5
t__SGB15022,U7,Z2
t__SGB15022,U3,U7
t__SGB15022,U6,U9
t__SGB15022,C1,U9
t__SGB15022,C1,U6
t__SGB15022,U12,Z1
t__SGB15022,U12,U5
t__SGB15022,C7,U12
t__SGB15022,C7,Z1
t__SGB15022,C7,U5
t__SGB15022,C2,U12
t__SGB15022,C2,C7
t__SGB15022,C2,Z1
t__SGB15022,C2,U5
t__SGB15022,C10,C12
t__SGB15022,C10,U4
t__SGB15022,C10,U5
t__SGB15022,C12,C5
t__SGB15022,C12,U7
t__SGB15022,C12,U12
t__SGB15022,C12,C7
t__SGB15022,C12,Z1
t__SGB15022,C12,C2
t__SGB15022,C12,U4
t__SGB15022,C12,U5
t__SGB15022,C12,C6
t__SGB15022,C12,Z8
t__SGB15022,U4,U7
t__SGB15022,U4,U5
t__SGB15022,U4,Z8
t__SGB15022,U5,U7
t__SGB15022,U5,Z1
t__SGB15022,U5,Z8
t__SGB15022,C6,U4
t__SGB15022,C6,U5
t__SGB15031,U5,Z6
t__SGB15031,C4,C6
t__SGB15031,U9,Z6
t__SGB15031,U9,Z4
t__SGB15031,U8,Z10
t__SGB15031,ERR14760611,ERR14760847
t__SGB15031,ERR14760441,ERR14760637
t__SGB15031,ERR14760441,ERR14760620
t__SGB15035,Z1,Z2
t__SGB15035,C9,U11
t__SGB15035,U11,Z1
t__SGB15035,U11,Z2
t__SGB15035,U11,U7
t__SGB15035,C11,U3
t__SGB15035,Z2,Z8
t__SGB15035,C7,Z2
t__SGB15035,ERR14760581,ERR14760619
t__SGB15035,U7,Z1
t__SGB15035,U7,Z2
t__SGB15051,C12,U6
t__SGB15051,C12,U3
t__SGB15051,U6,U8
t__SGB15051,U3,U8
t__SGB15051,U3,U6
t__SGB15051,U4,Z3
t__SGB15051,C1,Z12
t__SGB15051,U11,U7
t__SGB15051,U11,Z1
t__SGB15051,ERR14760509,ERR14760697
t__SGB15051,U7,Z1
t__SGB15051,U10,Z1
t__SGB15053,U2,Z10
t__SGB15053,U2,Z2
t__SGB15053,U2,U3
t__SGB15053,Z10,Z2
t__SGB15053,Z10,Z4
t__SGB15053,Z10,Z3
t__SGB15053,Z10,Z6
t__SGB15053,Z2,Z4
t__SGB15053,Z2,Z3
t__SGB15053,Z2,Z6
t__SGB15053,U5,Z10
t__SGB15053,U5,Z2
t__SGB15053,U3,Z10
t__SGB15053,U3,Z2
t__SGB15053,U3,U5
t__SGB15053,U3,U8
t__SGB15053,U3,Z4
t__SGB15053,U3,Z3
t__SGB15053,U3,U6
t__SGB15053,U3,U9
t__SGB15053,C8,Z10
t__SGB15053,C8,Z2
t__SGB15053,C8,U3
t__SGB15053,C8,Z12
t__SGB15053,C8,U8
t__SGB15053,C8,Z4
t__SGB15053,C8,Z3
t__SGB15053,C8,U6
t__SGB15053,C8,U9
t__SGB15053,C8,Z6
t__SGB15053,Z12,Z4
t__SGB15053,U8,Z10
t__SGB15053,U8,Z2
t__SGB15053,U8,Z12
t__SGB15053,U8,Z4
t__SGB15053,U8,Z3
t__SGB15053,U8,U9
t__SGB15053,U8,Z6
t__SGB15053,C5,Z3
t__SGB15053,Z3,Z4
t__SGB15053,C6,Z10
t__SGB15053,C6,C8
t__SGB15053,C6,Z3
t__SGB15053,C6,U6
t__SGB15053,C1,Z3
t__SGB15053,C1,C6
t__SGB15053,C3,C8
t__SGB15053,C3,Z3
t__SGB15053,C3,C6
t__SGB15053,C3,C7
t__SGB15053,C3,U6
t__SGB15053,C7,Z3
t__SGB15053,C7,U6
t__SGB15053,C2,C7
t__SGB15053,ERR14760504,ERR14760509
t__SGB15053,ERR14760509,ERR14760619
t__SGB15053,ERR14760509,ERR14760611
t__SGB15053,ERR14760509,ERR14760653
t__SGB15053,ERR14760509,ERR14760606
t__SGB15053,ERR14760509,ERR14760603
t__SGB15053,ERR14760509,ERR14760847
t__SGB15053,ERR14760611,ERR14760653
t__SGB15053,ERR14760447,ERR14760704
t__SGB15053,ERR14760447,ERR14760844
t__SGB15053,ERR14760447,ERR14760864
